num,subject,nick,write_time,views,url,contents
400547,오늘 쿠플픽 개재밌네욬ㅋㅋㅋㅋㅋ,Shawn Heungderson,23.04.22,248,http://m.cafe.daum.net/rocksoccer/ADs2/400547?searchView=Y,"일단 snl크루들이 다들 평타이상 하는데
한준희 옹이 찰지게 잘받음ㅋㅋㅋㅋㅋ
용검 캐스터도 웃기고 ㅋㅋㅋㅋ"
400544,쿠플 세제믿윤ㅋㅋㅋㅋㅋㅋ,트레제게,23.04.22,59,http://m.cafe.daum.net/rocksoccer/ADs2/400544?searchView=Y,선넘네ㅋㅋㅋㅋ
400522,처진다처져 익수형,포항스틸러스,23.04.22,173,http://m.cafe.daum.net/rocksoccer/ADs2/400522?searchView=Y,쿠플픽엔 안어울려 ㅋㅋㅋ
400480,근데 쿠플픽이 의외로? 동해안 더비가 아니라 슈매네요?,프린스,23.04.22,769,http://m.cafe.daum.net/rocksoccer/ADs2/400480?searchView=Y,"동해안 더비를 쿠플픽 하는게 더 의외인건가?...
근데....슈매가 예전에 비하면...."
400357,[투표]쿠플 초청 경기 팀K리그로 출전하는 것에 대해 어떤 입장이세요?,대구강윤성,23.04.20,748,http://m.cafe.daum.net/rocksoccer/ADs2/400357?searchView=Y,"찬성 - K리그 올스타가 나오는 게 K리그 단일팀 출전보다 좋다.
반대 - 울산, 대전 등 K리그 단일팀이 출전하는 게 더 좋다."
400336,'맨시티-아틀레티코' 한국서 격돌... 올여름 쿠플시리즈도 '대박 예감',Azpi,23.04.20,"1,099",http://m.cafe.daum.net/rocksoccer/ADs2/400336?searchView=Y,"축구계 관계자는 20일 '풋볼리스트'를 통해 ""올여름 쿠팡플레이 시리즈로 맨시티와 아틀레티코가 한국을 찾는다""고 전했다. 맨시티와 팀 K리그, 맨시티와 아틀레티코 2경기가 열릴 예정이다""고 말했다.
https://v.daum.net/v/fVUzKL8ClX"
400191,한준희말대로 가칭 쿠플컵같은게 딱일듯,캐스커,23.04.19,"1,449",http://m.cafe.daum.net/rocksoccer/ADs2/400191?searchView=Y,"2~3개 초청팀 + 전년도 K리그 우승팀
K리그 우승팀은 주중경기 생겨서 일정상 손해를 보지만
K리그 우승상금 이상의 수익을 준다면 부족한 우승상금+@ 효과 있을 거 같아요"
400080,쿠플 승격 보고 있는데 재밌네요,fayewong,23.04.18,366,http://m.cafe.daum.net/rocksoccer/ADs2/400080?searchView=Y,"조유민 리더쉽 대단하군요.
국대에서도 잘하길 기대해보구요...
이민성 감독도  시즌 중후반 경질위기를 넘기고 승격이란 보물을 쟁취했으니
1부에서도 좋은 성과 기대할만한 팀웍과 정신력을 보여줄거 같네요"
399965,[기사]'맨시티 vs 팀 K리그' 열리나... 한국선수 없어도 빅클럽 초청하는 '쿠플 시리즈',바이언2,23.04.17,756,http://m.cafe.daum.net/rocksoccer/ADs2/399965?searchView=Y,"http://www.footballist.co.kr/news/articleView.html?idxno=165377
유럽축구 사정에 밝은 한 관계자 역시 '풋볼리스트'와 통화에서 ""아직 확정은 아니지만 맨시티가 한국
을 찾을 가능성이 높다. 세부 계약 사항이 남아있다. 쿠팡은 올여름 한국선수가 없어도 유럽 빅클럽들
을 데려오려고 노력 중이다""고 전했다.
(중략)
프로연맹 관계자는 ""쿠팡과 긴밀하게 이야기 중이다. K리그1 일정이 없는 7월 말을 활용할 수 있다. 지
난 시즌처럼 올스타 팀을 생각 중이다""고 말한 바 있다. 올해 K리그1은 7월 23일부터 8월 3일까지 2주
간 휴식기를  보낸다. 그 사이에 올스타전 성격의 경기를 배치해도 일정에 무리가 없다.
기존 올스타전이 비판 받던 이유 중 하나는 시즌 도중 이벤트 제안을 받고 부랴부랴 무리한 일정을 편
성했기 때문이었다. 올해는 쿠팡플레이 시리즈를 처음부터 염두에 두고 있다.
(중략)
영국 '익스프레스 앤 스타'의 보도에 따르면 울버햄턴은 올여름 미국 투어에서 한국을 방문하는 걸로
방향을 틀었다. 프리시즌을 위해 한국에서 다른 유럽 팀과 친선경기를 원하고 있다. 파리생제르맹(PS
G)도 초청팀 후보에 올랐지만 높은 초청비를 이유로 무산된 것으로 알려졌다."
399952,쿠플 승격 재밌나요??,fayewong,23.04.17,221,http://m.cafe.daum.net/rocksoccer/ADs2/399952?searchView=Y,쿠팡에 떠있어서 볼까 하는데 어떤가요
399535,오늘 쿠플 한준희 해설위원 + 캐스터 조합 좋고 신선했음,레오빠드,23.04.16,395,http://m.cafe.daum.net/rocksoccer/ADs2/399535?searchView=Y,"오늘 경기장 박진감 제대로 살려주는 해설이었음.
보는 맛 났음."
399524,ㄷㄷㄷ 다음주 쿠플픽 메시옴,Kangin,23.04.16,"2,821",http://m.cafe.daum.net/rocksoccer/ADs2/399524?searchView=Y,는 마포구 메시
399523,[K리그][대전 vs 울산] 다음주 쿠플픽 게스트 : 양꼬치 & 칭따오 정상훈.gif,음교수2,23.04.16,611,http://m.cafe.daum.net/rocksoccer/ADs2/399523?searchView=Y,
399224,쿠플픽은 웬만하면 다 재밌는듯,캐스커,23.04.16,235,http://m.cafe.daum.net/rocksoccer/ADs2/399224?searchView=Y,선택하는 경기마다 꿀잼 ㄷㄷ
399225,쿠플픽이 뭐에요?,Clarence Seedorf,23.04.16,344,http://m.cafe.daum.net/rocksoccer/ADs2/399225?searchView=Y,??
398948,[K리그][대전 vs 울산] 쿠플픽 게스트 : 지예은.gif,음교수2,23.04.16,384,http://m.cafe.daum.net/rocksoccer/ADs2/398948?searchView=Y,
398933,[★울산][대전 vs 울산] 쿠플픽 최다 출연자 : 홍명보 감독.gif,음교수2,23.04.16,455,http://m.cafe.daum.net/rocksoccer/ADs2/398933?searchView=Y,
398921,[☆대전]대전 쿠플픽 준비중,Enzo Fernandez,23.04.16,317,http://m.cafe.daum.net/rocksoccer/ADs2/398921?searchView=Y,쿠플픽 직관은 처음 입니다
398775,K리그1 11라운드 쿠플픽 대구vs울산,No.25 한찬희,23.04.15,396,http://m.cafe.daum.net/rocksoccer/ADs2/398775?searchView=Y,ㅈㄱㄴ
396373,쿠플 어떻게 보시나요?,ganadara,23.04.08,"1,498",http://m.cafe.daum.net/rocksoccer/ADs2/396373?searchView=Y,"저는 매주말 끝나면 다음이나 네이버 들어가서 축구 골장면이나 야구 주요장면 영상으로 보는데, 요새는 축구영상은 쿠플에만 나오니, 야구영상만 봐요. 쿠플은 생중계 볼때는 찾아보지만, 주요장면 보려고 들어가지는 않습니다.
다른 팬분들은 어떻게 생각하세요?
쿠플에 대해서요?"
396143,쿠플 이게왠횡제냐?ㅋㅋㅋ,울산현대호랑이축구단,23.04.08,"1,121",http://m.cafe.daum.net/rocksoccer/ADs2/396143?searchView=Y,국축중계하길 잘해찌?!
396137,쿠플 경기 마무리 임영웅 노래 + 임영웅 하이라이트로 끝내네요 ㅋㅋㅋㅋ,Leno,23.04.08,323,http://m.cafe.daum.net/rocksoccer/ADs2/396137?searchView=Y,엌ㅋㅋㅋ
