cmt_num,cmt_writer,cmt_time,cmt_txt
467573_1,더범,24.03.01,전경기 쿠플픽
467559_1,이지금,24.03.01,갓팡 ㄷㄷㄷㄷㄷ
467559_2,Leno,24.03.01,? 이경규님이 고정으로 하는거예요??
467559_3,반더벤,24.03.01,와ㄷㄷ
467557_1,abitclosertohell,24.03.01,
467547_1,다로로,24.03.01,느아
467547_2,그무언가작성자 본인 여부작성자,24.03.01,
467518_1,더범,24.03.01,
467518_2,삼재현,24.03.01,경규옹 ㄷㄷㄷㄷ
467518_3,다이나믹피치,24.03.01,경인더비까지 2회 출연ㅎㄷㄷ
467518_4,그무언가,24.03.01,이경규우~
467515_2,이지금아이유작성자 본인 여부작성자,24.03.01,헉 감사해엽!
467515_3,zoleo,24.03.01,설정하고 해봤는데 뜨는데 어떻게 해야하죠?!
467515_5,zoleo,24.03.01,닉네임은 포털 검색 등을 통해 외부오 됐네요!!!
466619_1,전북17이재성,24.02.20,"그놈의 올스타전 그만 하면 안되나.,.그냥 좀 쉬었으면..."
466619_2,벤탕후루,24.02.20,무조건 티켓 산다!!!!!!!
466619_3,크르르르,24.02.20,또?
466619_4,디지몬,24.02.20,클럽팀이랑 하자 올스타전 솔직히 별루
466619_11,이태석이승준,24.02.20,22
466619_5,JhmArsBarJuv,24.02.20,그냥 둘이 해라..
466619_6,fayewong,24.02.20,파리도 초청해자 ㅋㅋㅋ
466619_7,fayewong,24.02.20,그건 그렇고 예상대로 뮌헨이 토트넘한테 줄 대전료는 쿠팡이 대신 내주겠네요 ㅋㅋㅋ
466619_8,#GCRC,24.02.20,올스타말고클럽끼리하지ㅠ
466619_9,jjul,24.02.20,뭔또 올스타야......걍 클럽끼리 하던가
466619_10,KOLON,24.02.20,맨:꼬 이후 또 보겠네ㅎㅎ
466619_12,H_Crespo,24.02.20,가능합니까?
466619_13,No. 10 모드리춘,24.02.20,파리은??
466619_14,다현,24.02.20,와 토트넘 또 와?
466619_15,인천제로콜라,24.02.20,난 올스타 팀 좋음!
465636_1,JhmArsBarJuv,24.02.14,티빙
465636_2,아이스핫초코작성자 본인 여부작성자,24.02.14,
465489_1,싸움소알라,24.02.12,슈퍼볼은 화려함 끝판왕이긴 하죠 ㅋㅋ
465489_2,이태석이승준,24.02.12,"경기장 사이즈며 슈퍼볼 보러오는 유명인사들(르브론, D그린)이며 장난 아니죠그리고 월드컵 결승전 다음으로 시청률이 높은 게 슈퍼볼 ㄷㄷ"
465489_3,H_Crespo,24.02.12,슈퍼볼은 ㅎㄷㄷㄷ한 대회임
465489_4,Be FEARLESS,24.02.12,슈퍼볼이 아마 세계에서 제일 비싼 대회일꺼에요 유럽축구보다도 더 개쩌는.....
465489_5,Tensegrity Universe and Philosophy,24.02.12,우와 파이널 터치다운 !!
465473_1,전북조규성,24.02.11,승호가 해외경험 있는게 적응 잘하는 이유가 있을듯요 해외리그는 실력외에도 다른 요소가 있딘보니 ㅠ
465473_18,에릭,24.03.10,222222222
465473_2,리얼 피난민,24.02.11,선수 한두명으로 리그 수준을 판단하는건 어렵다고 생각합니다. 이청용같이 가자마자 빅리그에서 날 뛰는 케이스가 있다면 김두현 처럼 리그박살내고 가서 아쉽게 돌아오는 케이스도 있고요 뭐 배준호도 감독 바뀌고나서 닥주전으로 뛴다고 압니다.
465473_7,더범,24.02.11,222
465473_3,아이스핫초코,24.02.11,리그 수준을 알아보려면 같은 리그에 모아두고 한시즌 돌려봐야 안다고 봄
465473_6,삼성팬버스기사,24.02.11,fm으로 돌려봐야할듯요
